Country,Total Population Male,Total Population Female,Total Population Both,Life Expectancy Male,Life Expectancy Female,Life Expectancy Both ,Healthy Life Expectancy Male,Healthy Life Expectancy Female,Healthy Life Expectancy Both ,Maternal Mortality Ratio,Prop Births Skilled,Mortality Rate < 5,Neonatal Mortality Rate,New HIV,TB Incidence ,Malaria Incidence,HepB age < 5,NTD Reported,Prob Death CVD+ ,Suicide Rate,Total Alcohol > 14,Road Mortality,Family Planning,Ad Birth Rate 15-19,Ad Birth Rate 10-14,Univ Health Care,Health care 10 > expend,Health care 25 > expend,Air Pollut Mortality,WASH Mortality,Poison Mortality,Tobacco Use < 15,DPT3 Immuno ,MCV2 immuno,PCV3 immuno,HPV immuno,Research Health ,Medicine Affordable ,Doctor Density,Density Nursing,Density Dentist,Density Pharmacist,Health Reg Score,MRSA,Ecoli,Gov Expend Health,Stunting < 5,Wasting < 5,Overweight < 5,Anaemia Women 15-49,Violence Girls Partner 15-49,Violence Girls Partner Lifetime,Water Safe,Sanitation Service,Hand Washing,Water Treated,Dev Expend Mil,Clean Fuel Tech,Pollution Urban,Homicide Mortality,Polio Cases,Hypertension 30-79,Obesity 5-19,Obesity Adults
Libya,3 469,3 403,6 871,74.2,77.3,75.8,64.9,65.5,65.2,72,100,11,6,0.05,59,-,0.43, 4 026,18.6,4.5,<0.1,21.3,24,10.9,-,60,-,-,71.9,0.6,0.8,-,73,72,73,-,4.77,-,20.9,65.3,8.8,6.0,45,83,62,-,43.5,10.2,25.4,29.9,-,-,-,22,-,17,<0.01,-,46.4,2.1,0,42.7,14.6,32.5
Lithuania,1 260,1 462,2 722,71.2,80.4,76.0,63.4,69.7,66.7,8,100,3,2,-,29,-,0.05,  0,19.3,26.1,12.8,8.1,-,10.1,0.1,70,-,-,34.0,<0.1,1.7,32.0,91,91,83,68,-,-,50.8,100.8,14.0,12.7,82,10,16,13.2,-,-,-,19.9,5,22,95,94,-,93,-,100,11.7,4.8,0,48.0,6.8,26.3
Luxembourg, 317, 309, 626,80.6,84.2,82.4,71.1,72.0,71.6,5,-,3,2,-,6,-,0.06,  3,9.7,11.3,12.4,4.1,-,3.8,0.0,86,3.5,0.3,11.6,<0.1,0.2,21.1,99,90,96,-,-,-,30.1,121.7,9.8,7.0,60,3,11,10.9,-,-,-,10.2,4,20,99,97,-,96,-,100,10.2,0.5,0,30.5,8.3,22.6
Madagascar,13 815,13 876,27 691,64.1,66.6,65.3,56.9,57.7,57.3,335,46,50,20,0.22,238,133.5,2.13,21 390 404,26,5.5,2,29.2,65.9,150.8,6.9,35,2.9,0.6,159.6,30.2,2.1,27.8,68,24,65,-,5.52,-,2.0,3.0,0.2,0.1,46,-,-,8.0,40.2,6.4,1.5,37.8,-,-,21,10,27,9,51.14,1,17.9,6.5,0,36.9,1.8,5.3
Malawi,9 434,9 696,19 130,62.3,68.9,65.6,55.1,59.0,57.1,349,96,39,19,1.21,141,228.5,1.39,12 761 253,22.6,5.4,4.1,33.4,73.9,101.8,2.8,48,4.4,1.0,115.0,28.3,1.7,10.8,94,75,93,77,8.26,-,0.5,7.1,<0.1,<0.1,50,61,57,8.7,37.0,0.6,4.7,31.4,17,30,-,24,8,6,90.47,1,24.6,2.2,1,29.5,2.0,5.8
Malaysia,16 631,15 735,32 366,72.6,77.1,74.7,64.5,66.9,65.7,29,100,9,5,0.19,92,0.0,0.06, 19 110,18.4,5.7,0.9,22.5,-,8.6,0.1,76,1.5,0.1,47.4,0.4,0.7,22.5,98,84,-,84,0.17,-,22.9,34.8,3.1,3.5,85,17,26,8.5,20.9,9.7,6.1,32.0,-,19,94,-,-,88,0.63,96,17.1,2.7,0,40.8,12.7,15.6
Maldives, 343, 198, 541,78.6,80.8,79.6,69.7,70.0,70.0,53,100,6,4,-,37,-,0.21,  330,11.6,2.7,2.8,1.6,29.2,5.9,0.1,69,10.3,4.1,25.6,0.3,<0.1,25.2,99,96,-,68,69.47,-,20.5,46.6,0.9,6.5,49,-,-,19.1,14.2,9.1,4.6,52.2,6,19,-,-,96,-,13.68,99,10.4,1.9,0,34.1,7.4,8.6
Mali,10 145,10 106,20 251,62.2,63.4,62.8,54.8,54.5,54.6,562,67,91,32,0.27,52,357.5,4.62,7 946 641,22.3,4.1,1.3,22.7,41.2,164.0,6.8,42,2.1,<0.1,209.1,70.7,2.9,8.3,70,26,66,-,6.74,0.0,1.3,4.4,<0.1,<0.1,44,80,61,5.7,25.7,9.3,2.1,59.0,18,29,-,20,17,-,117.24,<1,63.1,10.7,0,34.6,2.6,8.6
Malta, 221, 220, 442,79.9,83.8,81.9,70.9,71.9,71.5,6,100,6,4,-,36,-,0.2,  2,10.5,6.1,8.3,4.1,-,12.0,0.1,81,15.9,2.8,20.2,<0.1,0.1,24.0,98,99,-,85,-,-,28.6,94.8,4.8,12.9,73,20,12,14.1,-,-,-,13.7,4,17,100,92,-,15,-,100,13.2,1.0,0,29.5,13.4,28.9
Marshall Islands,-,-, 59,-,-,-,-,-,-,-,92,31,14,-,483,-,0.35, 19 594,-,-,-,-,-,-,-,62,-,-,-,-,-,28.5,-,-,-,17,121.42,-,4.2,33.4,1.2,0.7,-,-,-,10.5,32.2,3.5,4.2,30.6,19,38,-,-,85,-,3.65,64,-,-,-,31.9,26.6,52.9
Mauritania,2 335,2 315,4 650,68.1,68.7,68.4,60.2,59.4,59.8,766,69,71,31,-,87,30.0,3.35, 844 271,16.1,3.1,0,25.6,30.4,84.0,8.4,40,11.7,3.0,169.5,38.6,1.5,10.7,71,-,70,-,9.77,-,1.9,9.3,0.5,0.2,34,-,-,7.0,24.2,11.5,2.7,43.3,-,-,-,-,-,-,60.00,43,78.1,10.9,0,37.9,4.0,12.7
Mauritius, 627, 644,1 272,71.0,77.3,74.1,62.0,65.9,63.9,61,100,17,11,0.8,12,-,0.41,  0,23.2,9.5,4.8,12.2,40.8,23.7,0.6,65,8.2,1.9,38.3,0.6,0.8,20.2,93,87,86,74,1.08,-,27.1,39.3,2.8,5.9,51,40,50,10.2,8.7,-,7.6,23.5,-,-,-,-,-,13,9.37,97,9.5,2.3,0,33.1,4.4,10.8
Mexico,63 071,65 861,128 933,73.1,78.9,76.0,64.3,67.2,65.8,33,97,14,8,0.16,24,0.1,0.03,20 016 375,15.6,5.3,5,12.8,79.8,70.5,0.8,74,1.6,0.2,36.7,1.1,0.4,13.1,74,78,75,5,0.07,-,24.3,28.2,1.3,-,84,-,-,10.3,12.1,1.4,6.3,15.3,10,24,43,57,-,60,1.34,85,22.8,25.4,0,32.1,14.8,28.9
Micronesia (Federated States of), 58, 57, 115,60.3,66.0,63.0,54.4,57.8,56.0,88,-,25,13,-,75,-,0.4, 70 736,46.3,28.2,2.5,0.2,-,-,-,48,-,-,151.8,3.6,0.9,-,83,62,79,37,62.23,-,9.4,21.5,-,-,43,-,-,5.4,-,-,-,25.0,21,35,-,-,-,-,1.66,13,10.8,4.6,0,32.9,20.7,45.8
Monaco,-,-, 39,-,-,-,-,-,-,-,-,3,2,-,0,-,0.15,  0,-,-,-,-,-,-,-,85,-,-,-,-,-,-,-,-,-,-,-,-,75.1,201.6,10.2,26.3,-,-,-,5.7,-,-,-,12.3,-,-,100,100,-,97,-,100,11.5,-,-,-,-,-
Mongolia,1 615,1 663,3 278,63.8,72.8,68.1,57.1,63.8,60.3,45,99,15,8,0.01,437,-,0.47,  0,35,17.9,5.9,21,63.6,26.9,0.1,63,7.2,1.3,155.9,1.3,2.8,29.4,96,96,92,-,7.93,26.7,38.5,42.1,4.1,6.8,75,-,-,6.8,7.1,0.9,10.1,14.5,12,27,30,56,86,10,32.81,52,60.0,6.1,0,42.8,4.3,20.6
Montenegro, 311, 317, 628,73.2,78.7,75.9,65.2,68.7,67.0,6,99,2,1,0.04,16,-,0.67,  0,22.3,21,12.2,7.6,32.9,9.6,0.1,67,10.3,0.8,78.6,<0.1,0.6,31.4,84,76,-,-,1.64,-,27.4,53.7,0.5,2.3,53,-,-,11.3,8.1,2.2,10.2,17.2,4,16,85,45,99,45,14.67,62,19.4,2.8,0,45.1,7.6,23.3
Morocco,18 317,18 594,36 911,71.7,74.3,73.0,63.7,63.7,63.7,70,87,19,12,0.02,98,-,0.16, 3 868,24.1,7.2,0.5,17,72,22.5,0.0,73,20.5,6.4,49.1,1.9,0.7,14.5,-,-,-,-,3.76,-,7.3,13.9,1.4,2.6,73,-,-,7.1,12.9,2.6,11.3,29.9,10,-,80,39,-,36,282.48,98,28.6,1.7,0,35.3,10.2,26.1
Mozambique,15 188,16 067,31 255,54.5,61.7,58.1,47.9,52.8,50.4,289,73,71,28,3.5,368,320.2,0.59,22 969 482,30.6,13.6,2.7,30,55.5,180.0,5.5,47,1.6,0.4,110.0,27.6,3.7,14.3,79,62,65,-,8.09,-,0.8,4.8,<0.1,0.1,41,25,32,5.6,37.8,4.4,6.0,47.9,16,30,-,-,-,-,132.43,5,19.9,3.7,0,38.6,2.3,7.2
Myanmar,26 220,28 190,54 410,65.9,72.2,69.1,58.8,62.8,60.9,250,60,44,22,-,308,2.5,1.11,23 748 613,24.9,2.9,2.1,20.4,74.9,21.3,0.1,61,12.7,3.5,156.4,12.6,1.3,44.1,84,90,86,-,4.46,-,7.4,10.8,0.7,0.8,57,51,81,3.6,25.2,6.7,1.5,42.1,11,19,59,61,75,-,97.19,31,33.7,3.9,0,37.8,3.7,5.8
Namibia,1 232,1 309,2 541,60.6,68.4,64.6,53.4,58.6,56.1,195,88,40,20,2.44,460,10.0,0.36,1 094 020,22.6,9.7,3.1,34.8,80.4,63.9,4.0,62,1.5,0.3,145.0,18.3,1.9,15.1,-,-,-,-,1.72,-,5.9,19.5,0.7,2.4,58,-,-,10.7,18.4,7.1,5.0,25.2,16,27,-,-,-,-,1.40,47,20.5,18.0,0,43.8,4.9,17.2
Nauru,-,-, 11,-,-,-,-,-,-,-,-,28,18,-,180,-,0.52, 10 774,-,-,4.2,-,-,94.0,-,54,-,-,-,-,-,48.5,95,97,-,-,21.69,-,13.5,78.5,3.7,1.9,-,-,-,6.8,15.0,-,3.7,29.6,20,43,-,-,-,-,-,100,8.2,-,-,41.8,33.2,61.0
Nepal,13 348,15 788,29 137,68.9,72.7,70.9,60.6,62.1,61.3,186,77,28,17,0.03,235,<0.1,0.16,13 519 533,21.5,9,0.6,16.3,61.9,63.0,0.4,53,10.7,2.1,193.8,19.8,1.7,30.4,84,74,80,-,4.03,-,8.5,33.4,1.3,1.7,44,79,73,4.0,30.4,12.0,1.8,35.7,11,27,18,49,62,37,152.51,35,88.0,2.5,0,36.1,1.7,4.1
Netherlands,8 537,8 598,17 135,80.4,83.1,81.8,71.3,71.5,71.4,5,-,4,3,0.02,4,-,0.08,  4,10.3,11.8,9.7,4,-,2.5,0.0,86,-,-,13.7,0.2,0.1,22.2,94,89,93,63,-,-,40.8,116.4,5.6,2.2,84,2,7,16.0,1.6,-,5.0,12.8,5,21,100,97,-,100,-,100,12.0,0.6,0,30.5,7.0,20.4
New Zealand,2 370,2 452,4 822,80.4,83.5,82.0,69.6,70.8,70.2,9,96,5,3,0.02,8,-,0.77,  3,10.3,11,10.7,9.6,-,12.6,0.0,86,-,-,7.2,0.1,0.2,13.7,92,91,92,67,-,-,36.2,117.8,6.5,7.6,85,-,-,18.7,-,-,-,10.4,4,23,100,82,-,85,-,100,6.7,1.2,0,30.9,16.3,30.8
Nicaragua,3 265,3 360,6 625,72.1,77.9,75.0,63.7,67.2,65.5,98,94,16,9,0.11,42,11.5,0.09,1 595 366,15.3,4.3,5.1,16.9,89.8,102.6,-,70,24.7,9.1,55.7,2.2,0.3,-,92,98,92,-,4.83,-,16.6,15.5,0.4,1.9,78,-,-,18.3,14.1,2.2,7.5,15.7,6,23,56,-,-,-,157.35,56,22.6,9.4,0,35.8,10.8,23.7
Niger,12 170,12 036,24 207,62.1,64.6,63.3,55.3,55.8,55.5,509,44,78,24,0.05,83,324.1,3.44,10 993 882,21,5.3,0.5,25.5,45.5,154.0,4.0,37,6.5,0.9,251.8,70.8,3.3,7.4,81,60,81,-,5.43,-,0.3,2.2,<0.1,<0.1,46,-,-,9.4,46.7,9.8,1.9,49.5,13,-,-,16,23,4,201.49,2,89.4,9.6,0,41.5,1.4,5.5
Nigeria,104 470,101 670,206 140,61.2,64.1,62.6,53.9,54.9,54.4,917,43,114,35,0.42,219,313.8,2.94,136 378 141,16.9,3.5,6.2,20.7,35.6,106.0,2.0,44,15.8,4.1,307.4,68.6,3.3,3.7,57,12,57,-,2.62,-,3.8,15.0,0.2,1.2,63,75,81,3.8,35.3,6.5,2.7,55.1,13,24,22,31,33,48,131.97,15,47.1,9.2,0,36.1,1.9,8.9
Niue,-,-, 2,-,-,-,-,-,-,-,-,25,13,-,48,-,0.37,  0,-,-,9.9,-,-,-,-,55,-,-,-,-,-,-,-,-,-,-,346.13,-,-,125.0,-,-,-,-,-,4.8,-,-,-,27.3,-,-,94,-,-,-,<0.01,98,-,-,-,39.5,29.5,50.0
North Macedonia,1 042,1 041,2 083,72.8,76.9,74.8,65.1,67.3,66.1,7,100,6,4,-,12,-,0.08,  0,22.7,9.4,6.4,5.1,29.6,15.6,0.3,68,-,-,82.2,<0.1,0.5,-,84,68,30,30,1.42,-,28.7,37.9,8.8,-,66,100,86,13.6,4.1,3.4,10.0,19.3,4,13,77,12,100,9,14.77,78,33.6,1.5,0,45.1,9.3,22.4
Norway,2 740,2 681,5 421,81.1,84.1,82.6,71.0,71.6,71.4,2,99,2,1,0.01,3,-,0.02,  2,8.7,11.8,7.1,2.1,-,2.3,0.0,86,-,-,8.6,0.2,0.3,16.2,97,95,96,90,-,-,50.5,184.2,9.0,8.8,95,2,5,17.5,-,-,-,12.0,4,20,99,65,-,76,-,100,7.6,0.6,0,30.5,9.1,23.1
Oman,3 370,1 736,5 107,73.0,75.3,73.9,64.5,64.5,64.7,19,100,11,5,-,7,-,0.13,  233,21.5,4.8,0.9,10.6,39.6,7.5,0.1,69,-,-,53.9,<0.1,0.9,8.0,99,99,99,-,-,-,17.7,39.4,2.9,5.7,75,32,79,8.0,12.2,9.3,4.8,29.1,-,-,91,-,97,-,-,100,41.3,0.7,0,45.6,14.9,27.0
Pakistan,113 672,107 220,220 892,64.6,66.7,65.6,56.9,56.8,56.9,140,68,65,40,0.12,259,2.5,0.91,25 234 450,29.4,8.9,0.3,13,48.6,54.0,0.4,45,4.5,0.5,173.6,19.6,1.6,20.2,77,74,80,-,2.56,-,11.2,4.8,1.2,1.5,52,70,82,4.9,36.7,7.1,3.4,41.3,16,29,36,-,80,-,164.83,49,62.6,6.0,4,43.2,3.1,8.6
Palau,-,-, 18,-,-,-,-,-,-,-,97,17,9,-,64,-,0.03,  0,-,-,-,-,-,33.8,0.0,59,-,-,-,-,-,17.6,96,83,75,-,454.31,-,17.7,64.6,3.3,2.8,47,-,-,15.8,-,-,-,28.5,14,31,91,-,-,-,3.76,100,8.7,-,-,44.2,31.4,55.3
Panama,2 160,2 155,4 315,76.6,82.1,79.3,67.4,70.0,68.7,52,95,14,8,0.44,32,0.6,0.07, 64 414,10.7,2.9,7.8,13.9,65.2,67.8,2.6,77,6.2,0.7,25.8,1.9,<0.1,5.0,74,74,74,44,2.09,-,16.3,32.1,3.0,2.2,76,-,-,22.7,14.7,-,10.8,21.2,8,16,-,-,-,-,2.98,88,14.5,17.2,0,36.1,10.5,22.7
Papua New Guinea,4 568,4 379,8 947,63.4,67.4,65.3,56.2,58.1,57.1,145,56,44,21,0.39,441,164.3,1.36,6 982 087,36,3,2.1,12.6,49.2,68.0,1.1,33,-,-,152.0,16.3,1.4,39.3,39,27,39,-,12.44,-,0.7,4.5,<0.1,0.1,-,-,-,6.4,48.4,-,8.9,34.4,31,51,-,-,30,-,17.13,9,12.2,11.0,0,27.8,9.8,21.3
Paraguay,3 624,3 508,7 133,73.1,78.8,75.8,64.5,67.3,65.8,84,98,19,10,0.13,48,-,0.42,1 999 482,16,6,7,22,78.9,72.0,0.7,61,7.1,1.9,57.5,1.5,0.2,11.5,79,72,82,37,8.62,-,10.5,16.6,1.6,0.3,56,-,-,14.4,4.6,1.0,12.0,23.0,6,18,64,60,80,-,21.57,69,12.0,8.0,0,56.4,10.5,20.3
Peru,16 379,16 593,32 972,78.5,81.3,79.9,69.2,69.8,69.5,88,96,13,7,0.13,116,2.3,0.06, 359 011,9.7,2.8,6.8,13.6,66.6,49.7,0.8,78,8.4,1.1,63.9,1.3,0.4,8.1,72,52,74,16,0.72,69.2,13.7,29.8,1.9,1.0,38,47,72,15.4,10.8,0.4,8.0,20.6,11,38,51,53,-,-,16.86,85,33.3,9.3,0,20.7,7.8,19.7
Philippines,55 029,54 552,109 581,67.4,73.6,70.4,60.1,63.9,62.0,121,84,26,13,0.15,539,0.7,0.38,48 539 291,24.5,2.1,7,12,56,35.6,0.5,55,6.3,1.4,185.2,4.2,0.2,22.9,71,68,66,5,1.87,-,7.7,54.4,2.6,3.3,62,46,36,7.6,28.7,5.6,4.2,12.3,6,14,47,61,82,43,27.06,48,23.7,13.7,0,33.8,4.3,6.4
Poland,18 338,19 509,37 847,74.5,81.9,78.3,65.9,71.3,68.7,2,100,4,3,-,10,-,0.01,  14,17,11.3,11.9,9.4,-,9.4,0.0,74,14.1,1.3,37.9,<0.1,0.5,24.0,90,95,62,-,-,-,37.7,68.7,10.3,9.7,69,15,18,11.0,2.3,-,6.7,-,3,13,98,91,-,82,-,100,21.9,0.8,0,49.2,9.1,23.1
Portugal,4 824,5 373,10 197,78.6,84.4,81.6,69.6,72.2,71.0,8,99,3,2,0.07,16,-,0.02,  1,11,11.5,12.1,8.2,-,7.6,0.1,84,-,-,9.8,0.2,0.3,25.4,99,95,98,78,-,-,54.8,74.1,10.6,9.4,85,-,-,13.7,3.3,0.6,8.5,13.2,4,18,95,85,-,74,-,100,8.4,0.9,0,32.3,10.4,20.8
Qatar,2 165, 716,2 881,78.0,76.6,77.2,68.1,65.1,67.1,9,100,6,4,0.07,34,-,0.05,  28,10.7,5.8,1.5,7.3,68.9,7.2,0.0,74,-,-,47.4,<0.1,0.3,11.8,82,90,70,-,-,-,24.9,72.0,6.1,8.9,92,32,40,6.5,4.6,-,13.9,28.1,-,-,96,97,-,100,-,100,81.6,0.5,0,40.9,19.5,35.1
Republic of Korea,25 666,25 603,51 269,80.3,86.1,83.3,71.3,74.7,73.1,11,100,3,1,-,49,<0.1,0.09,  0,7.3,28.6,8.5,8.6,-,0.9,0.0,87,12.0,2.9,20.5,1.8,0.2,20.8,-,-,-,-,-,-,24.8,81.8,5.2,7.6,95,48,38,14.3,2.2,-,8.8,13.5,8,-,99,100,-,100,-,100,26.5,0.8,0,26.7,8.5,4.7
Republic of Moldova,1 932,2 102,4 034,69.3,77.1,73.3,61.9,67.1,64.5,19,100,14,11,0.24,74,-,0.2,  30,24.1,14.7,12.9,7.3,63.9,18.4,0.1,67,18.7,3.6,78.3,<0.1,5.5,29.0,86,93,72,40,2.92,25.0,31.0,46.8,4.1,3.0,60,56,89,12.1,4.9,1.9,4.3,26.1,9,27,74,-,-,38,25.06,96,14.1,4.1,0,48.3,4.2,18.9
Romania,9 354,9 884,19 238,72.0,79.3,75.6,64.3,69.4,66.8,19,93,7,3,0.04,64,-,0.29,  0,21,9.7,12.3,10.3,-,37.2,1.4,71,13.4,2.2,59.3,0.4,1.9,28.0,87,75,85,-,-,-,29.8,73.9,8.0,9.1,-,-,-,12.7,9.7,-,6.7,22.7,7,18,82,83,-,48,-,88,15.7,1.3,0,48.4,8.1,22.5
Russian Federation,67 640,78 294,145 934,68.2,78.0,73.2,60.7,67.5,64.2,17,100,5,2,-,46,-,0.55,  278,24.2,25.1,10.5,12,-,16.2,0.1,75,7.7,0.9,49.4,0.1,3.8,26.8,97,96,87,-,-,-,38.2,62.3,3.5,0.4,100,29,73,10.2,-,-,-,21.1,-,-,76,61,-,13,-,86,11.2,7.8,0,44.3,7.1,23.1
Rwanda,6 367,6 585,12 952,66.9,71.2,69.1,59.0,61.4,60.2,248,94,40,18,0.34,58,230.5,0.49,5 011 488,20.2,5.6,8,29.4,62.9,31.8,0.3,54,1.1,0.1,121.4,19.3,1.7,13.7,91,91,91,68,10.28,-,1.2,9.5,0.2,0.7,67,-,-,8.9,32.6,1.1,5.2,17.2,23,38,12,-,5,-,46.49,2,39.4,4.3,0,29.8,1.7,5.8
Saint Kitts and Nevis,-,-, 53,-,-,-,-,-,-,-,100,15,10,-,4,-,0.06,  20,-,-,6.3,-,-,-,-,72,-,-,-,-,-,-,99,99,-,-,-,-,27.7,42.2,2.3,-,63,-,-,6.6,-,-,-,15.4,-,-,-,-,-,-,-,100,9.7,-,-,45.1,12.3,22.9
Saint Lucia, 90, 93, 184,71.3,77.7,74.3,63.0,66.6,64.7,117,100,24,13,-,2,-,0.22, 1 318,17.7,7.9,9.6,29.8,72,25.3,0.9,72,6.6,1.9,30.0,0.6,0.1,-,86,71,-,74,26.32,-,6.4,31.5,1.7,4.4,59,-,-,8.2,2.8,3.7,6.9,14.3,-,-,-,-,-,-,0.36,94,22.9,20.2,0,39.8,8.8,19.7
Saint Vincent and the Grenadines, 56, 55, 111,71.3,75.3,73.2,62.9,65.1,64.0,68,99,14,9,-,7,-,0.15, 1 790,20.7,1,7.2,7.4,-,47.2,0.7,73,-,-,47.6,1.3,<0.1,-,97,99,-,12,10.65,-,9.4,70.1,1.7,-,22,-,-,9.5,-,-,-,17.0,-,-,-,-,-,-,1.80,94,23.1,29.4,0,39.3,12.4,23.7
Samoa, 103, 96, 198,69.2,71.8,70.5,61.8,62.5,62.1,43,89,17,7,-,6,-,0.34, 191 219,31.2,12.6,2.8,13,39.4,54.9,0.4,53,-,-,85.0,1.5,0.4,25.3,79,44,-,-,52.80,-,6.0,32.7,1.0,0.3,-,-,-,14.0,6.8,3.1,7.1,26.8,18,40,46,48,79,47,0.84,36,11.0,2.8,0,38.3,21.7,47.3
San Marino,-,-, 34,-,-,-,-,-,-,-,-,2,<1,-,0,-,0.13,  0,-,-,-,-,-,-,0.0,82,-,-,-,-,-,-,89,79,82,50,-,-,61.1,82.1,17.8,6.7,-,-,-,23.4,-,-,-,12.5,-,-,100,70,-,90,-,100,10.1,-,-,-,-,-
Sao Tome and Principe, 110, 109, 219,68.8,72.0,70.4,60.9,62.2,61.6,130,97,16,8,-,118,8.8,1.31, 210 238,21,1.5,5.8,27.9,57.7,86.1,0.4,60,4.8,1.1,162.4,11.4,0.7,5.7,-,-,-,-,19.08,-,4.9,21.5,0.3,1.7,35,-,-,10.8,11.8,4.1,4.0,44.2,18,27,36,35,55,-,6.51,3,38.4,5.6,0,45.1,3.5,12.4
