Country,Total Population Male,Total Population Female,Total Population Both,Life Expectancy Male,Life Expectancy Female,Life Expectancy Both ,Healthy Life Expectancy Male,Healthy Life Expectancy Female,Healthy Life Expectancy Both ,Maternal Mortality Ratio,Prop Births Skilled,Mortality Rate < 5,Neonatal Mortality Rate,New HIV,TB Incidence ,Malaria Incidence,HepB age < 5,NTD Reported,Prob Death CVD+ ,Suicide Rate,Total Alcohol > 14,Road Mortality,Family Planning,Ad Birth Rate 15-19,Ad Birth Rate 10-14,Univ Health Care,Health care 10 > expend,Health care 25 > expend,Air Pollut Mortality,WASH Mortality,Poison Mortality,Tobacco Use < 15,DPT3 Immuno ,MCV2 immuno,PCV3 immuno,HPV immuno,Research Health ,Medicine Affordable ,Doctor Density,Density Nursing,Density Dentist,Density Pharmacist,Health Reg Score,MRSA,Ecoli,Gov Expend Health,Stunting < 5,Wasting < 5,Overweight < 5,Anaemia Women 15-49,Violence Girls Partner 15-49,Violence Girls Partner Lifetime,Water Safe,Sanitation Service,Hand Washing,Water Treated,Dev Expend Mil,Clean Fuel Tech,Pollution Urban,Homicide Mortality,Polio Cases,Hypertension 30-79,Obesity 5-19,Obesity Adults
Saudi Arabia,20 131,14 683,34 814,73.1,76.1,74.3,63.8,64.4,64.0,17,99,7,3,0.05,8,<0.1,0, 1 051,20.9,6,0,35.9,-,-,-,73,1.3,0.6,83.7,<0.1,0.8,14.3,95,96,95,-,-,-,27.4,58.2,5.6,8.6,91,100,58,11.1,3.9,-,7.6,27.5,-,-,-,59,-,80,-,100,64.0,1.9,0,34.0,17.4,35.4
Senegal,8 171,8 573,16 744,66.8,70.1,68.6,58.8,59.9,59.4,315,74,38,21,0.08,117,49.9,0.93,5 590 970,19.5,6,0.7,23.5,53.2,71.3,0.9,49,-,-,160.7,23.9,1.9,6.9,91,69,92,31,6.13,7.7,0.9,5.4,0.1,0.1,60,-,-,4.3,17.2,8.1,2.1,52.7,12,24,-,24,22,14,128.86,24,59.8,7.6,0,40.5,1.8,8.8
Serbia,4 280,4 458,8 737,73.5,78.3,75.9,65.4,68.4,66.9,12,100,6,4,0.02,13,-,0.04,  0,22,11.4,8.9,7.5,38.4,12.0,0.3,71,8.1,0.5,62.5,0.7,0.3,39.8,92,84,87,-,1.37,-,31.1,60.9,2.1,8.1,68,-,-,12.0,5.3,2.6,10.8,22.8,4,17,75,18,-,27,36.33,80,25.1,1.2,0,46.1,9.8,21.5
Seychelles, 50, 48, 98,70.0,77.1,73.3,61.9,66.4,64.0,53,100,14,8,-,11,-,0.09,  1,21.1,8.1,8.8,11.3,-,68.3,1.1,70,2.6,1.3,49.3,0.2,0.5,20.2,97,99,94,24,-,-,22.5,229.5,4.3,12.8,48,-,-,10.2,7.4,4.3,9.8,25.1,-,-,-,-,-,-,-,100,13.7,14.8,0,44.3,10.8,14.0
Sierra Leone,3 981,3 996,7 977,59.6,61.9,60.8,52.5,53.3,52.9,1120,87,108,31,0.7,298,328.2,1.98,7 617 601,23.5,6.7,5.3,33,53,102.0,3.9,39,16.4,3.0,324.1,81.3,2.8,13.5,91,67,91,-,8.53,-,0.7,7.5,<0.1,0.2,51,-,-,5.8,26.8,5.4,4.7,48.4,20,36,11,14,21,8,32.71,<1,56.0,7.9,0,40.8,2.5,8.7
Singapore,3 062,2 788,5 850,81.0,85.5,83.2,72.4,74.7,73.6,8,100,2,<1,0.01,46,-,0.13, 35 315,9.5,11.2,2,2.1,-,2.1,0.0,86,9.0,1.5,25.9,<0.1,<0.1,16.5,-,-,-,-,-,-,24.6,62.4,4.1,5.1,94,-,31,14.5,2.8,-,4.8,13.0,2,11,100,100,-,100,-,100,17.2,0.3,0,31.5,6.8,6.1
Slovakia,2 658,2 801,5 460,74.8,81.4,78.2,66.2,70.8,68.5,5,98,6,3,-,3,-,0.31,  3,15.5,12.1,11.1,6.1,-,26.9,0.3,77,2.6,<0.1,33.5,<0.1,0.5,31.5,97,98,96,-,-,-,35.6,60.5,5.2,8.2,64,-,-,12.8,-,-,-,23.5,6,18,99,82,-,80,-,100,18.3,1.1,0,42.7,8.1,20.5
Slovenia,1 035,1 044,2 079,78.6,84.1,81.3,69.0,72.5,70.7,7,100,2,1,0.01,4,-,1.12,  2,11.4,19.8,12.1,5.1,-,4.3,0.1,80,3.7,0.3,22.6,<0.1,0.2,22.0,95,91,70,59,-,-,32.8,104.6,7.3,7.3,78,-,-,14.2,-,-,-,21.8,3,18,98,72,-,67,-,100,16.8,0.9,0,45.3,9.2,20.2
Solomon Islands, 349, 338, 687,62.9,67.9,65.2,56.5,59.1,57.8,104,86,19,8,-,65,167.7,0.87, 503 483,39.2,14.7,1.7,16.5,38,78.0,-,50,-,-,137.0,6.2,2.3,36.5,94,51,93,22,28.22,-,1.9,21.6,0.7,1.2,51,-,-,10.4,29.3,8.5,4.0,37.7,28,50,-,-,-,-,21.05,9,11.8,3.9,0,29.8,4.3,22.5
Somalia,7 924,7 969,15 893,54.0,59.2,56.5,48.3,51.3,49.7,829,32,115,37,0.02,259,52.2,6.32,3 698 691,30.4,7.9,0,27.4,2.1,118.0,1.2,27,0.1,0.0,212.8,86.6,4.9,-,42,-,-,-,5.41,-,0.2,1.1,-,-,33,47,-,-,27.4,-,2.9,43.1,-,-,-,32,25,-,22.28,3,27.7,5.4,0,36.1,3.0,8.3
South Africa,29 216,30 093,59 309,62.2,68.3,65.3,54.6,57.7,56.2,119,97,32,11,4.6,554,0.8,3.1,16 502 598,24.1,23.5,9.5,22.2,79.7,43.9,1.2,67,1.0,0.1,86.7,13.7,1.7,20.3,84,76,83,-,0.81,-,7.9,49.7,1.1,2.7,68,20,28,15.3,23.2,3.4,12.9,30.5,13,24,-,-,44,61,3.96,87,29.4,35.9,0,44.1,11.3,28.3
South Sudan,5 603,5 591,11 194,60.8,64.8,62.8,52.9,54.5,53.7,1150,-,98,40,1.37,232,286.9,13.03,8 571 203,16.8,3.9,-,36.7,-,-,-,32,13.4,4.0,165.1,63.3,2.3,-,49,-,-,-,11.72,-,0.4,3.4,<0.1,0.3,54,-,-,2.1,30.6,-,5.7,35.6,27,41,-,-,-,-,25.75,0,34.6,14.3,0,34.2,-,-
Spain,22 978,23 776,46 755,80.7,85.7,83.2,71.3,72.9,72.1,4,100,3,2,0.08,7,-,0.13,  1,9.6,7.7,12.7,3.9,-,6.0,0.1,86,7.9,1.1,9.9,0.2,0.4,27.7,98,94,88,79,-,-,44.4,61.4,8.3,12.4,80,-,-,15.3,-,-,-,13.4,3,15,100,96,-,86,-,100,9.5,0.6,0,27.2,10.8,23.8
Sri Lanka,10 267,11 146,21 413,73.8,79.8,76.9,65.1,69.0,67.0,36,100,7,4,0.01,64,-,0.34, 34 498,13.2,14,2.9,19.7,74.3,21.0,0.0,67,5.4,0.9,79.8,1.2,0.4,22.0,96,96,-,51,0.86,68.3,12.3,25.0,1.1,1.0,64,53,62,9.2,16.0,15.1,1.3,34.6,4,24,-,-,-,-,132.02,32,16.8,2.3,0,35.6,4.8,5.2
Sudan,21 907,21 942,43 849,67.6,70.8,69.1,59.6,60.3,59.9,295,78,57,27,0.09,63,73.4,1.66,12 458 017,22.8,3.8,-,26.8,30.1,86.8,2.3,44,-,-,184.9,17.3,1.7,-,90,68,90,-,2.66,41.0,2.6,11.5,2.1,0.3,44,100,100,5.6,33.7,16.3,2.7,36.5,17,-,-,-,13,-,32.59,55,43.0,5.8,0,40.8,-,-
Suriname, 295, 292, 587,68.5,74.6,71.5,60.7,64.2,62.4,120,98,18,11,0.3,29,1.7,0.07,  617,22.7,25.4,7.4,15.3,57.5,55.8,2.0,67,4.9,1.4,56.7,2.0,0.3,-,51,50,-,4,7.41,-,8.2,39.3,0.6,0.4,46,-,-,15.7,8.0,5.5,4.0,21.0,8,28,56,25,72,24,0.45,94,30.2,5.8,0,42.9,13.9,26.4
Sweden,5 059,5 040,10 099,80.8,84.0,82.4,71.7,72.1,71.9,4,-,3,1,-,4,-,0.13,  18,8.4,14.7,9,3.1,86.7,3.4,0.0,87,-,-,7.2,0.2,0.2,24.0,97,95,97,82,-,-,70.9,118.5,8.2,16.2,88,5,8,18.8,-,-,-,13.6,6,21,100,95,-,95,-,100,6.0,1.1,0,30.2,6.7,20.6
Switzerland,4 294,4 361,8 655,81.8,85.1,83.4,72.2,72.8,72.5,5,-,4,3,-,5,-,0.16,  0,7.9,14.5,11.2,2.2,-,2.0,0.0,87,-,-,10.1,0.1,0.2,25.5,96,93,86,63,-,-,43.8,182.6,4.1,6.7,92,25,11,11.1,-,-,-,11.3,2,12,94,100,-,99,-,100,10.3,0.5,0,21.9,5.8,19.5
Syrian Arab Republic,8 760,8 741,17 501,71.2,74.3,72.7,62.5,63.3,62.9,31,-,22,11,0.01,19,-,0.69,2 440 286,22.1,2,0.2,14.9,-,-,-,56,-,-,75.2,3.7,0.6,-,49,53,-,-,4.04,-,12.9,15.4,7.2,10.7,58,25,0,-,29.6,-,18.2,32.8,-,-,-,-,83,-,35.57,97,35.6,2.6,0,41.1,11.5,27.8
Tajikistan,4 806,4 732,9 538,67.6,71.5,69.5,60.9,63.2,62.0,17,95,32,14,0.09,84,-,0.18,3 375 143,28.3,4.3,0.9,15.7,52.1,45.6,0.0,66,10.2,2.2,129.3,2.7,0.4,-,97,97,-,-,4.57,15.0,17.2,47.5,1.6,-,57,-,-,6.6,15.3,5.6,3.5,35.2,14,24,55,-,73,-,93.68,82,46.5,1.8,0,46.8,3.0,14.2
Thailand,33 966,35 834,69 800,74.4,81.0,77.7,65.9,70.6,68.3,37,99,9,5,0.1,150,0.2,0.27, 50 131,13.7,8.8,8.5,32.2,88.2,31.7,0.0,83,1.9,0.3,61.5,3.5,0.2,22.1,97,87,-,-,0.24,-,9.5,31.5,2.7,6.3,88,11,39,13.9,12.3,7.7,9.2,24.0,9,24,-,26,85,24,1.51,84,31.9,4.3,0,29.2,11.3,10.0
Timor-Leste, 666, 652,1 318,67.9,71.4,69.6,59.8,62.0,60.9,142,57,42,19,0.1,508,<0.1,0.72,1 361 778,19.9,3.7,0.5,11.9,45.9,41.9,0.4,53,2.6,0.6,139.8,9.9,0.4,39.2,86,78,-,-,29.44,-,7.6,17.5,<0.1,2.1,60,21,62,4.8,48.8,9.9,2.6,29.9,28,38,-,-,28,-,3.90,14,17.7,4.7,0,35.3,4.2,3.8
Togo,4 119,4 159,8 279,61.5,67.2,64.3,54.7,57.8,56.2,396,69,64,24,0.45,36,228.9,3.27,4 603 985,23.9,8.8,2.7,28.7,39.6,79.0,1.5,44,13.4,2.4,249.6,41.6,1.9,6.8,82,46,82,-,4.67,-,0.8,5.1,<0.1,0.3,57,-,-,5.4,23.8,5.7,2.4,45.7,13,25,20,9,17,15,9.97,10,46.1,8.9,0,36.0,2.0,8.4
Tonga, 53, 53, 106,69.8,75.6,72.6,62.7,65.5,64.0,52,98,11,5,-,10,-,0.89, 37 131,24.8,3.8,0.4,33,49.9,-,0.0,56,-,-,73.3,1.4,1.1,31.0,99,99,-,-,62.37,-,9.5,45.4,1.4,0.8,55,-,-,7.5,2.6,1.1,12.6,28.5,17,37,30,34,70,29,0.56,84,11.1,3.4,0,43.3,26.7,48.2
Trinidad and Tobago, 691, 709,1 399,72.5,79.9,76.1,64.0,68.6,66.2,67,100,17,11,0.07,18,-,0.19,  59,17.1,8.7,6.5,9.3,-,-,-,73,3.9,1.9,38.6,0.1,0.1,-,-,-,-,-,-,0.0,44.8,40.7,3.2,6.6,-,-,26,10.2,8.7,-,11.0,17.7,7,28,-,-,-,-,-,100,24.4,39.4,0,42.4,11.1,18.6
Tunisia,5 861,5 958,11 819,74.9,79.2,77.0,66.1,67.7,66.9,43,100,17,12,0.03,36,-,0.12, 4 902,15.7,3.3,2,16.5,62.7,6.3,0.0,70,16.7,2.4,56.1,1.0,0.7,24.6,92,92,82,-,2.65,-,13.0,25.1,3.1,2.3,66,14,31,12.6,8.6,2.1,16.5,32.1,10,25,79,81,84,60,292.57,100,32.5,3.5,0,34.7,8.5,26.9
Turkey,41 636,42 703,84 339,76.4,80.7,78.6,67.8,69.0,68.4,17,97,9,5,-,15,-,0.11,  0,15.6,2.4,1.8,6.7,60.1,14.7,0.0,79,3.2,0.4,46.6,0.3,0.4,30.7,98,93,95,-,0.35,-,19.3,30.5,3.9,4.1,-,-,-,9.5,-,1.7,-,-,12,32,-,78,-,63,66.21,95,36.9,4.8,0,32.8,11.5,32.1
Turkmenistan,2 969,3 062,6 031,66.5,73.0,69.7,59.9,64.3,62.1,7,100,42,24,-,47,-,0.07,  395,27.7,5.7,3.1,13.5,79.6,22.4,0.0,73,-,-,79.3,4.0,0.6,5.5,98,99,23,99,0.66,-,22.2,44.3,1.2,1.7,81,-,-,8.7,7.6,4.1,3.8,26.6,-,-,95,-,100,-,<0.01,100,33.3,2.8,0,39.0,4.7,18.6
Tuvalu,-,-, 12,-,-,-,-,-,-,-,100,22,10,-,296,-,0.24, 11 500,-,-,1.3,-,-,43.8,0.0,52,-,-,-,-,-,35.6,95,85,-,-,82.02,-,11.9,34.7,0.8,1.7,61,-,-,13.8,9.7,-,6.4,27.5,20,39,-,-,-,2,3.27,71,-,-,-,50.4,27.2,51.6
Uganda,22 547,23 194,45 741,63.2,70.1,66.7,56.0,60.4,58.2,375,74,43,19,0.95,196,283.8,0.96,23 171 373,21.2,4.6,12.5,29.4,55.1,127.9,1.1,50,15.3,3.8,155.7,31.6,1.7,8.4,89,-,89,30,5.21,-,1.5,16.4,<0.1,0.4,68,75,88,3.1,27.9,3.5,4.0,32.8,26,45,17,-,23,-,167.65,<1,45.7,13.9,0,32.5,1.7,5.3
Ukraine,20 263,23 471,43 734,68.0,77.8,73.0,60.6,67.8,64.3,19,100,8,5,0.21,73,-,0.25,  17,25.5,21.6,8.3,10.2,68.0,14.7,0.1,73,8.3,1.1,70.7,0.3,2.5,25.8,81,82,-,-,0.83,19.8,29.9,66.6,6.0,0.3,65,18,50,7.7,15.9,-,17.0,17.7,9,18,89,72,-,34,35.96,95,14.9,6.3,0,43.1,7.0,24.1
United Arab Emirates,6 836,3 054,9 890,75.1,78.4,76.1,65.8,66.2,66.0,3,99,7,4,0.13,1,-,0.02,  78,18.5,6.4,3.8,8.9,-,3.7,0.0,78,0.4,-,54.7,<0.1,0.4,-,90,92,84,29,-,-,26.0,57.5,6.7,12.1,96,43,54,7.4,-,-,-,24.3,-,-,-,99,-,96,-,100,42.2,0.7,0,41.4,17.3,31.7
United Kingdom,33 542,34 344,67 886,79.8,83.0,81.4,69.6,70.6,70.1,7,-,4,3,-,7,-,0.41,  0,10.3,7.9,11.4,3.2,86.5,10.9,0.0,88,2.3,0.4,13.8,0.2,0.3,15.4,93,87,91,64,-,-,30.0,88.5,5.4,8.4,93,4,10,19.7,-,-,-,11.1,4,24,100,98,-,99,-,100,10.4,1.3,0,26.4,10.2,27.8
United Republic of Tanzania,29 851,29 883,59 734,65.4,69.3,67.3,57.6,59.3,58.5,524,64,49,20,1.26,222,120.2,0.99,29 038 890,17.4,4.3,12,31.1,55.1,138.9,1.5,46,4.3,0.8,139.0,38.4,2.0,8.7,86,67,80,58,5.56,0.0,0.5,5.7,0.1,0.3,54,50,75,9.6,32.0,3.5,5.5,38.9,24,38,-,26,48,-,136.63,4,24.6,8.1,0,33.2,2.5,8.4
United States of America,163 786,167 217,331 003,76.3,80.7,78.5,65.2,67.0,66.1,19,99,6,3,-,2,-,0.01,  466,13.6,16.1,10,12.7,78.4,16.7,0.3,83,4.3,0.8,13.3,0.2,0.5,23.0,93,95,82,49,-,-,26.1,156.8,6.1,-,91,-,-,22.4,3.2,0.1,8.8,11.8,6,26,97,98,-,91,-,100,7.7,5.8,0,31.6,21.4,36.2
Uruguay,1 678,1 795,3 474,73.5,80.6,77.1,65.4,69.5,67.5,17,100,6,4,0.19,32,-,0.15,  10,16.5,21.2,6.9,14.8,-,32.6,0.7,79,2.3,0.2,17.5,0.4,0.5,21.5,92,91,94,25,-,-,49.4,72.2,14.5,-,66,-,-,20.1,6.5,1.4,10.3,15.0,4,18,-,-,-,-,-,100,10.0,8.5,0,42.4,13.8,27.9
Uzbekistan,16 697,16 772,33 469,70.8,75.2,73.0,63.5,65.8,64.7,29,100,14,8,0.08,66,-,0.16, 405 951,25.3,8,2.6,11.7,-,18.9,0.0,71,-,-,81.1,0.4,0.8,17.6,95,99,93,100,3.03,-,23.7,112.8,1.5,0.4,65,-,-,8.3,9.9,1.8,5.0,24.8,-,-,59,-,-,32,126.58,84,33.9,1.5,0,45.7,4.0,16.6
Vanuatu, 156, 151, 307,62.7,68.3,65.3,56.4,59.4,57.8,72,89,25,11,-,38,3.0,2.25, 299 059,39.7,18,2.1,14.9,50.7,81.0,-,52,-,-,135.6,10.4,0.7,17.8,78,-,-,-,33.94,-,1.7,14.2,0.3,1.2,74,-,-,5.0,28.7,4.7,4.9,28.5,29,47,-,-,-,-,6.45,8,11.1,2.3,0,39.5,8.3,25.2
Venezuela (Bolivarian Republic of),13 985,14 451,28 436,69.9,78.2,73.9,61.9,67.1,64.4,125,99,24,15,0.08,47,16.3,0.15,8 062 740,14.8,2,3.6,39,-,83.8,3.2,70,-,-,34.6,1.4,0.2,-,54,28,0,-,0.68,-,17.3,20.7,1.4,-,75,-,-,11.6,10.6,-,6.7,24.2,8,19,-,23,-,-,1.02,97,20.1,63.6,0,39.4,14.1,25.6
Viet Nam,48 598,48 740,97 339,69.6,78.1,73.7,62.4,68.3,65.3,43,96,21,10,0.06,176,<0.1,0.64,7 844 098,21.2,7.5,7.9,30.6,69.6,29.0,0.0,70,8.5,1.7,64.5,1.6,0.9,24.8,94,93,-,-,1.26,-,8.3,14.5,-,3.4,64,-,-,10.1,22.3,5.8,6.0,20.6,10,25,-,-,86,-,428.07,65,23.8,1.9,0,29.7,2.6,2.1
Yemen,15 025,14 801,29 826,64.4,68.9,66.6,56.9,58.2,57.5,164,45,60,28,0.04,49,40.6,1.76,11 632 682,27.6,5.8,<0.1,29.4,40.5,67.2,1.0,44,15.8,4.2,194.2,10.2,1.8,20.3,72,46,72,-,5.55,-,5.3,7.9,0.2,1.1,55,71,100,-,37.2,16.4,2.7,61.5,-,-,-,19,-,34,51.97,62,40.3,9.7,0,29.3,7.0,17.1
Zambia,9 103,9 281,18 384,59.5,65.4,62.5,52.5,56.3,54.4,213,80,61,24,3.64,319,186.9,1.32,12 810 245,24.6,7.3,4.5,20.5,65.9,135.0,2.9,55,-,-,127.2,34.9,2.6,14.4,84,66,85,69,8.43,16.7,1.2,10.2,0.3,1.0,56,100,100,7.0,32.3,4.2,5.7,31.5,28,41,-,-,18,-,68.86,10,29.4,6.5,0,32.3,2.9,8.1
Zimbabwe,7 092,7 771,14 863,57.5,63.6,60.7,51.2,54.8,53.1,458,86,54,26,1.74,193,98.5,2.74,8 029 929,28.4,14.1,4.5,41.2,84.8,107.9,1.1,55,11.8,7.0,133.0,24.6,3.5,11.7,86,74,86,-,10.96,-,2.0,21.4,0.2,1.1,59,-,-,8.7,23.0,2.9,3.6,28.9,18,35,30,26,42,23,18.05,30,24.6,13.1,0,42.3,4.0,15.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO region,2020,,,2019,,,2019,,,2017,,2020,2020,2020,2020,,2020,2020,2019,2019,2019,2019,,2015-2020,,2019,2017,2017,2016,2016,2019,,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2021,2020,2020,2019,,,,2019,2018,2018,2020,2020,2020,2020,2020,,2016,2019,2021,2019,2016,2016
African Region,  559 296,  560 865, 1 120 161,62.4,66.6,64.5,55.0,57.1,56.0,525,65,72,27,0.82,220,232.8,2.53, 578 432 527,20.8,6.9,4.8,27.2,56.3,102.1,-,46,8.4,2.0,180.9,45.8,2.5,10.3,72,36,68,17,4.65,-,2.9,12.9,0.3,0.8,48,-,-,6.9,31.7,5.8,4.2,40.4,20,33,32,23,28,31,2352.91,20,38.8,10.0,1,35.5,2.8,10.6
Region of the Americas,  501 975,  516 146, 1 018 121,74.5,79.8,77.2,64.8,67.5,66.2,57,96,13,7,0.15,29,4.6,0.07, 61 743 281,14,9.6,7.6,15.3,82.3,49.9,-,77,7.1,1.3,29.7,1.1,0.4,16.3,81,72,76,40,0.77,-,24.5,81.6,5.8,5.1,67,-,-,14.0,8.9,0.7,8.0,15.4,7,25,81,52,-,58,1059.39,92,10.8,19.2,0,35.4,14.4,28.6
South-East Asia Region, 1 035 908,  985 479, 2 021 387,69.9,73.1,71.4,61.1,61.9,61.5,152,87,30,18,0.05,211,3.0,0.38, 938 873 025,21.6,10.1,4.3,15.8,75.1,26.1,-,61,15.2,5.4,165.8,15.4,0.3,29.0,85,78,27,2,0.72,-,7.7,20.4,1.5,6.6,64,-,-,8.0,30.1,14.5,3.3,46.6,17,33,-,46,71,29,1177.96,64,61.1,3.8,0,32.4,3.0,4.7
European Region,  452 591,  480 297,  932 888,75.1,81.3,78.2,66.6,70.0,68.3,13,98,8,4,0.18,25,0.0,0.26, 6 639 094,16.3,12.8,9.5,7.4,76.6,17.1,-,79,6.9,1.0,36.3,0.3,1.1,25.3,94,91,79,27,1.29,-,36.6,83.4,6.2,6.5,75,-,-,12.6,5.7,-,7.9,18.8,6,21,92,70,-,72,608.54,94,13.0,2.9,0,36.9,8.6,23.3
Eastern Mediterranean Region,  374 719,  351 002,  725 721,68.3,71.3,69.7,60.2,60.7,60.4,164,75,45,25,0.06,112,11.2,0.84, 75 059 501,24.5,5.8,0.5,17.8,61.3,46.5,-,57,12.6,2.5,125.0,10.6,1.1,18.6,81,76,52,<1,2.69,-,11.2,16.5,2.6,3.3,65,-,-,8.6,26.2,7.4,7.7,34.9,17,31,56,-,81,50,2048.38,74,55.7,5.3,5,37.8,8.2,20.8
Western Pacific Region,  987 323,  952 556, 1 939 879,74.8,80.8,77.7,67.0,70.2,68.6,41,98,11,5,0.06,93,2.2,0.30, 72 876 938,15.6,8.7,6.5,16.4,87.2,14.4,-,80,20.2,6.4,102.8,1.0,1.4,24.6,95,94,16,4,0.52,-,21.0,39.9,4.6,4.4,69,-,-,10.1,9.3,2.1,7.5,16.4,8,20,-,65,-,69,929.9,78,39.4,1.6,0,28.3,9.8,6.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global, 3 911 812, 3 846 346, 7 758 157,70.8,75.9,73.3,62.5,64.9,63.7,211,84,37,17,0.19,127,59.0,0.94,1 733 624 366,17.8,9.2,5.8,16.7,76.7,42.5,-,67,13.2,3.8,114.1,11.7,1.1,22.3,83,70,49,12,-,-,16.4,39.5,3.3,4.7,64,36,47,10.5,22.0,6.7,5.7,29.9,13,27,74,54,71,56,8695.58,69,31.2,6.2,6,33.1,6.8,13.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,